id,studyID,trial_registration_no,studyID_ROB,trt,pre_n,n,mean_diff,mean_diff_sd,outcome,response,age_mean,adult,length,pc_female,pre_mean,pre_sd,country,daily_dose,session_duration,sessions,weekly_dose,bmi_score,bmi,comorbid,vitD_suppl,D1,D2,D3,D4,D5,overall
1,Alayat 2017,,Alayat 2017,Control,25,25,-0.015,0.06,Lumbar BMD,,54,adults,52,0%,0.98,0.05,Saudi Arabia,72,60,3,0,25.5,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
2,Alayat 2017,,Alayat 2017,Combined aerobic/resistance,25,25,0.1,0.07,Lumbar BMD,,53.8,adults,52,0%,0.99,0.08,Saudi Arabia,225,60,3,675,26.9,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
3,Alayat 2017,,Alayat 2017,Control,25,25,-0.002,0.07,Lumbar BMD,,54,adults,24,0%,0.98,0.05,Saudi Arabia,72,60,3,0,25.5,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
4,Alayat 2017,,Alayat 2017,Combined aerobic/resistance,25,25,0.07,0.1,Lumbar BMD,,53.8,adults,24,0%,0.99,0.08,Saudi Arabia,225,60,3,675,26.9,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
5,Alayat 2017,,Alayat 2017,Control,25,25,-0.01,0.04,Hip total BMD,,54,adults,52,0%,0.89,0.04,Saudi Arabia,72,60,3,0,25.5,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
6,Alayat 2017,,Alayat 2017,Combined aerobic/resistance,25,25,0.03,0.04,Hip total BMD,,53.8,adults,52,0%,0.9,0.04,Saudi Arabia,225,60,3,675,26.9,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
7,Alayat 2017,,Alayat 2017,Control,25,25,0,0.05,Hip total BMD,,54,adults,24,0%,0.89,0.04,Saudi Arabia,72,60,3,0,25.5,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
8,Alayat 2017,,Alayat 2017,Combined aerobic/resistance,25,25,0.03,0.057,Hip total BMD,,53.8,adults,24,0%,0.9,0.04,Saudi Arabia,225,60,3,675,26.9,Overweight,Reported,Not reported,Low,Some concern,Low,Low,Some concern,Some concern
9,Allison 2013,,Allison 2013,Control,50,35,-0.009,0.018,Femoral BMD,,69.9,older adults,52,0%,0.954,0.018,UK,18,15,7,0,26.2,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Some concern,Some concern
10,Allison 2013,,Allison 2013,Mixed aerobic exercises,50,35,0.006,0.017,Femoral BMD,,69.9,older adults,52,0%,0.948,0.018,UK,135,15,7,945,26.2,Overweight,Not reported,Not reported,Some concern,Some concern,Some concern,Low,Some concern,Some concern
